Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.2,,,
Sample Interval,0.000384025,,,
Filter Frequency,2e+08,,,
Record Length,5192,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-8.786e-01,0.65,0.29,6.2,5.8
-8.783e-01,0.71,1.11,6.2,6.6
-8.779e-01,0.79,0.47,6,5.4
-8.775e-01,0.91,1.27,6,6.4
-8.771e-01,1.05,0.65,5.6,5.4
-8.767e-01,0.93,1.31,5.8,6.2
-8.763e-01,1.03,0.79,5.6,5
-8.760e-01,1.21,1.47,5.6,6.2
-8.756e-01,1.25,0.53,5.4,5
-8.752e-01,1.07,1.47,5.4,5.8
-8.748e-01,0.85,0.25,5.4,5.2
-8.744e-01,0.69,1.23,5.4,5.8
-8.740e-01,0.59,0.09,5.6,5
-8.737e-01,0.49,0.93,5.6,6
-8.733e-01,0.41,-0.00999999,5.6,5.2
-8.729e-01,0.35,0.75,5.6,6
-8.725e-01,0.29,-0.15,5.6,5.2
-8.721e-01,0.25,0.63,5.6,6
-8.717e-01,0.23,-0.13,5.6,5
-8.714e-01,0.19,0.59,5.4,5.8
-8.710e-01,0.15,-0.13,5.6,5
-8.706e-01,0.13,0.55,5.4,6
-8.702e-01,0.15,-0.05,5.4,5
-8.698e-01,0.11,0.35,5.4,5.8
-8.694e-01,0.13,0.01,5.4,5
-8.690e-01,0.11,0.21,5.4,5.8
-8.687e-01,0.13,0.01,5.4,5
-8.683e-01,0.07,0.19,5.4,5.8
-8.679e-01,0.09,0.01,5.4,5
-8.675e-01,0.09,0.17,5.4,5.8
-8.671e-01,0.09,-0.13,5.4,4.8
-8.667e-01,0.09,0.55,5.4,5.8
-8.664e-01,0.09,-0.13,5.2,4.8
-8.660e-01,0.07,0.57,5.4,5.8
-8.656e-01,0.09,-0.15,5.6,4.8
-8.652e-01,0.07,0.61,5.4,5.6
-8.648e-01,0.07,-0.19,5.4,5
-8.644e-01,0.09,0.61,5.2,5.6
-8.641e-01,0.07,-0.27,5.4,4.8
-8.637e-01,0.03,0.59,5.2,5.6
-8.633e-01,0.09,-0.29,5.2,4.8
-8.629e-01,0.11,0.57,5.2,5.6
-8.625e-01,0.09,-0.29,5.4,4.8
-8.621e-01,0.09,0.57,5.2,5.8
-8.618e-01,0.09,-0.25,5.4,5
-8.614e-01,0.09,0.43,5.2,5.8
-8.610e-01,0.09,-0.23,5.4,5
-8.606e-01,0.11,0.41,5.4,5.8
-8.602e-01,0.09,-0.19,5.4,5
-8.598e-01,0.11,0.35,5.4,5.8
-8.594e-01,0.09,-0.19,5.6,5.2
-8.591e-01,0.09,0.35,5.6,6
-8.587e-01,0.09,-0.25,5.6,5.2
-8.583e-01,0.09,0.47,5.6,6
-8.579e-01,0.07,-0.25,5.6,5.2
-8.575e-01,0.01,0.45,5.6,6
-8.571e-01,0.25,-0.25,5.6,5.2
-8.568e-01,0.11,0.45,5.6,6
-8.564e-01,0.27,-0.21,5.6,5.2
-8.560e-01,0.11,0.45,5.6,6
-8.556e-01,0.07,-0.15,5.4,5.2
-8.552e-01,0.09,0.49,5.8,6
-8.548e-01,0.13,-0.13,5.6,5.2
-8.545e-01,0.19,0.43,5.6,6
-8.541e-01,0.09,-0.11,5.6,5.2
-8.537e-01,0.13,0.41,5.6,6
-8.533e-01,0.09,-0.05,5.6,5.2
-8.529e-01,0.13,0.27,5.4,6
-8.525e-01,0.13,0.05,5.4,5
-8.522e-01,0.17,0.25,5.6,5.8
-8.518e-01,0.17,0.05,5.6,4.8
-8.514e-01,0.33,0.63,5.2,5.8
-8.510e-01,0.57,0.51,5.2,4.4
-8.506e-01,0.75,0.83,5.2,5.4
-8.502e-01,0.65,0.25,5,4.2
-8.498e-01,0.89,1.43,4.8,5.2
-8.495e-01,0.93,0.13,4.6,4.2
-8.491e-01,0.75,1.39,4.4,5
-8.487e-01,0.59,-0.05,4.6,4
-8.483e-01,0.49,1.05,4.4,5
-8.479e-01,0.41,-0.13,4.6,4
-8.475e-01,0.35,0.85,4.6,4.8
-8.472e-01,0.27,-0.19,4.4,4
-8.468e-01,0.25,0.73,4.4,4.8
-8.464e-01,0.23,-0.23,4.6,4
-8.460e-01,0.21,0.71,4.6,5
-8.456e-01,0.17,-0.23,4.4,4.2
-8.452e-01,0.17,0.63,4.4,5
-8.449e-01,0.15,-0.19,4.6,4.2
-8.445e-01,0.15,0.43,4.8,5
-8.441e-01,0.13,-0.21,4.6,4.2
-8.437e-01,0.13,0.41,4.6,5
-8.433e-01,0.13,-0.17,4.8,4.2
-8.429e-01,0.11,0.37,4.8,5.2
-8.425e-01,0.11,-0.17,4.6,4.4
-8.422e-01,0.13,0.37,4.8,5.2
-8.418e-01,0.13,-0.27,4.8,4.4
-8.414e-01,0.11,0.47,4.8,5.2
-8.410e-01,0.11,-0.25,4.8,4.4
-8.406e-01,0.11,0.45,4.8,5.2
-8.402e-01,0.03,-0.23,4.8,4.4
-8.399e-01,0.09,0.43,4.8,5.4
-8.395e-01,0.11,-0.19,4.8,4.4
-8.391e-01,0.09,0.47,4.8,5.2
-8.387e-01,0.09,-0.15,4.8,4.4
-8.383e-01,0.09,0.49,4.8,5.2
-8.379e-01,0.11,-0.11,4.8,4.4
-8.376e-01,0.09,0.45,4.8,5.2
-8.372e-01,0.07,-0.11,4.8,4.4
-8.368e-01,0.09,0.37,4.8,5.2
-8.364e-01,0.07,-0.03,4.8,4.4
-8.360e-01,0.07,0.19,4.8,5.2
-8.356e-01,0.05,-0.03,4.8,4.4
-8.353e-01,0.07,0.17,4.8,5.2
-8.349e-01,0.07,-0.00999999,4.8,4.2
-8.345e-01,0.09,0.17,4.6,5.2
-8.341e-01,0.09,-0.09,4.6,4.2
-8.337e-01,0.09,0.53,4.8,5.2
-8.333e-01,0.07,-0.13,4.8,4.2
-8.329e-01,0.07,0.55,4.6,5
-8.326e-01,0.09,-0.15,4.6,4.2
-8.322e-01,0.07,0.57,4.6,5
-8.318e-01,0.09,-0.17,4.4,4.2
-8.314e-01,0.11,0.61,4.6,5
-8.310e-01,0.03,-0.27,4.6,4.2
-8.306e-01,0.07,0.61,4.6,5
-8.303e-01,0.05,-0.29,4.8,4.2
-8.299e-01,0.07,0.55,4.6,5
-8.295e-01,0.09,-0.29,4.6,4.2
-8.291e-01,0.09,0.57,4.6,5
-8.287e-01,0.11,-0.27,4.6,4.2
-8.283e-01,0.07,0.43,4.6,5.2
-8.280e-01,0.09,-0.23,4.8,4.2
-8.276e-01,0.11,0.41,4.8,5.2
-8.272e-01,0.09,-0.21,4.8,4.2
-8.268e-01,0.09,0.37,4.8,5.2
-8.264e-01,0.11,-0.19,4.8,4.4
-8.260e-01,0.11,0.35,4.8,5.2
-8.257e-01,0.11,-0.25,4.8,4.4
-8.253e-01,0.11,0.45,5,5.4
-8.249e-01,0.11,-0.27,5,4.4
-8.245e-01,0.09,0.45,5,5.4
-8.241e-01,0.09,-0.25,4.8,4.4
-8.237e-01,0.11,0.43,5,5.4
-8.233e-01,0.11,-0.23,5.2,4.6
-8.230e-01,0.11,0.45,5,5.4
-8.226e-01,0.11,-0.17,5,4.6
-8.222e-01,0.07,0.49,5,5.4
-8.218e-01,0.09,-0.13,4.8,4.6
-8.214e-01,0.11,0.45,5,5.4
-8.210e-01,0.07,-0.11,5,4.6
-8.207e-01,0.07,0.41,4.8,5.4
-8.203e-01,0.07,-0.11,4.8,4.6
-8.199e-01,0.07,0.33,4.8,5.4
-8.195e-01,0.09,-0.00999999,5,4.4
-8.191e-01,0.07,0.19,4.8,5.2
-8.187e-01,0.07,-0.00999999,4.8,4.4
-8.184e-01,0.09,0.17,4.8,5.2
-8.180e-01,0.07,-0.00999999,4.8,4.4
-8.176e-01,0.07,0.15,4.8,5.2
-8.172e-01,0.09,-0.11,4.8,4.4
-8.168e-01,0.09,0.55,4.8,5.2
-8.164e-01,0.09,-0.13,4.8,4.4
-8.161e-01,0.07,0.57,4.6,5.2
-8.157e-01,0.09,-0.15,4.6,4.4
-8.153e-01,0.09,0.59,4.8,5.2
-8.149e-01,0.09,-0.19,4.8,4.2
-8.145e-01,0.05,0.59,4.8,5.2
-8.141e-01,0.09,-0.29,4.6,4.2
-8.137e-01,0.05,0.57,4.6,5.2
-8.134e-01,0.07,-0.29,4.8,4.2
-8.130e-01,0.09,0.57,4.8,5.2
-8.126e-01,0.11,-0.29,4.8,4.2
-8.122e-01,0.07,0.55,4.8,5.2
-8.118e-01,0.07,-0.25,4.8,4.4
-8.114e-01,0.07,0.39,4.8,5.2
-8.111e-01,0.09,-0.25,4.8,4.4
-8.107e-01,0.11,0.39,4.8,5.2
-8.103e-01,0.09,-0.21,5,4.4
-8.099e-01,0.13,0.37,5,5.4
-8.095e-01,0.09,-0.19,5,4.6
-8.091e-01,0.11,0.35,5,5.4
-8.088e-01,0.11,-0.25,5.2,4.6
-8.084e-01,0.09,0.47,5,5.4
-8.080e-01,0.11,-0.27,5,4.6
-8.076e-01,0.11,0.47,5,5.4
-8.072e-01,0.11,-0.25,5,4.6
-8.068e-01,0.09,0.45,5,5.6
-8.065e-01,0.11,-0.21,5,4.6
-8.061e-01,0.15,0.45,5.2,5.4
-8.057e-01,0.09,-0.17,5.2,4.6
-8.053e-01,0.09,0.49,5,5.4
-8.049e-01,0.07,-0.13,5,4.6
-8.045e-01,0.09,0.43,5,5.4
-8.041e-01,0.09,-0.11,5.2,4.6
-8.038e-01,0.07,0.41,5,5.4
-8.034e-01,0.09,-0.05,5,4.6
-8.030e-01,0.09,0.29,5,5.4
-8.026e-01,0.09,-0.00999999,4.8,4.6
-8.022e-01,0.07,0.17,5.2,5.4
-8.018e-01,0.07,-0.00999999,5,4.4
-8.015e-01,0.07,0.17,4.8,5.4
-8.011e-01,0.05,-0.00999999,4.8,4.4
-8.007e-01,0.11,0.15,4.8,5.4
-8.003e-01,0.09,-0.11,4.8,4.4
-7.999e-01,0.07,0.55,4.8,5.2
-7.995e-01,0.07,-0.13,4.8,4.4
-7.992e-01,0.09,0.55,4.8,5.2
-7.988e-01,0.09,-0.15,4.8,4.4
-7.984e-01,0.05,0.61,4.8,5.2
-7.980e-01,0.05,-0.19,4.8,4.4
-7.976e-01,0.05,0.59,4.8,5.2
