Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.1,,,
Sample Interval,0.000192012,,,
Filter Frequency,2e+08,,,
Record Length,5192,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.531e-01,0.07,-0.15,9.6,9.4
-4.530e-01,0.07,0.55,9.6,10.2
-4.528e-01,0.07,-0.15,9.8,9.4
-4.526e-01,0.09,0.57,9.6,10
-4.524e-01,0.07,-0.15,9.8,9.4
-4.522e-01,0.07,0.59,9.6,10.2
-4.520e-01,0.07,-0.15,9.8,9.2
-4.518e-01,0.09,0.59,9.6,10
-4.516e-01,0.07,-0.19,9.6,9.2
-4.514e-01,0.09,0.59,9.6,10.2
-4.512e-01,0.09,-0.25,9.6,9.4
-4.510e-01,0.07,0.55,9.6,10
-4.508e-01,-0.00999999,-0.27,9.8,9.2
-4.507e-01,0.07,0.57,9.6,10
-4.505e-01,0.07,-0.27,9.6,9.2
-4.503e-01,0.07,0.55,9.8,10
-4.501e-01,0.07,-0.29,9.6,9.2
-4.499e-01,0.05,0.55,9.8,10.2
-4.497e-01,0.09,-0.29,9.8,9.4
-4.495e-01,0.09,0.55,9.6,10.2
-4.493e-01,0.09,-0.27,9.8,9.4
-4.491e-01,0.07,0.41,9.8,10.2
-4.489e-01,0.11,-0.23,9.8,9.4
-4.487e-01,0.09,0.37,9.8,10.2
-4.485e-01,0.09,-0.23,9.8,9.4
-4.483e-01,0.09,0.37,9.8,10.2
-4.482e-01,0.09,-0.23,9.8,9.4
-4.480e-01,0.09,0.37,9.8,10.2
-4.478e-01,0.09,-0.21,9.8,9.4
-4.476e-01,0.09,0.35,9.8,10.2
-4.474e-01,0.09,-0.19,9.8,9.4
-4.472e-01,0.11,0.33,9.8,10.4
-4.470e-01,0.09,-0.19,10,9.4
-4.468e-01,0.11,0.35,9.6,10.2
-4.466e-01,0.09,-0.19,9.8,9.4
-4.464e-01,0.11,0.33,10,10.2
-4.462e-01,0.09,-0.19,9.8,9.4
-4.460e-01,0.07,0.35,10,10.4
-4.459e-01,0.11,-0.25,10,9.6
-4.457e-01,0.13,0.47,10,10.4
-4.455e-01,0.39,-0.25,10,9.4
-4.453e-01,0.07,0.47,10,10.4
-4.451e-01,0.01,-0.25,10,9.4
-4.449e-01,0.09,0.43,10,10.4
-4.447e-01,0.11,-0.25,9.8,9.6
-4.445e-01,0.09,0.43,10,10.4
