Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.02,,,
Sample Interval,3.84025e-05,,,
Filter Frequency,2e+08,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,2,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-9.6041e-02,1.56,1.32,2.4,2.24
-9.6003e-02,1.64,1.88,2.4,2.64
-9.5964e-02,1.64,1.32,2.4,2.24
-9.5926e-02,1.72,1.88,2.4,2.56
-9.5888e-02,1.64,1.32,2.4,2.24
-9.5849e-02,1.64,1.88,2.4,2.64
-9.5811e-02,1.64,1.4,2.4,2.24
-9.5772e-02,1.64,1.88,2.4,2.64
-9.5734e-02,1.56,1.32,2.4,2.16
-9.5696e-02,1.72,1.88,2.32,2.56
-9.5657e-02,1.72,1.4,2.32,2.16
-9.5619e-02,1.72,1.96,2.32,2.56
-9.5580e-02,1.8,1.48,2.32,2.16
-9.5542e-02,1.72,2.04,2.32,2.56
-9.5504e-02,1.8,1.48,2.32,2.16
-9.5465e-02,1.8,2.12,2.32,2.56
-9.5427e-02,1.8,1.48,2.32,2.16
-9.5388e-02,1.8,2.04,2.32,2.48
-9.5350e-02,1.8,1.56,2.32,2.08
-9.5312e-02,1.88,2.12,2.24,2.48
-9.5273e-02,1.88,1.56,2.24,2.08
-9.5235e-02,1.88,2.12,2.24,2.48
-9.5196e-02,1.88,1.64,2.24,2.08
-9.5158e-02,1.96,2.2,2.24,2.48
-9.5120e-02,1.96,1.64,2.24,2.08
-9.5081e-02,1.88,2.2,2.24,2.48
-9.5043e-02,1.96,1.64,2.24,2
-9.5004e-02,1.96,2.2,2.16,2.4
-9.4966e-02,1.96,1.64,2.16,2
-9.4927e-02,1.96,2.2,2.16,2.4
-9.4889e-02,1.88,1.64,2.16,2
-9.4851e-02,1.96,2.2,2.16,2.4
-9.4812e-02,2.04,1.72,2.16,2
-9.4774e-02,1.96,2.2,2.16,2.4
-9.4735e-02,1.96,1.72,2.16,1.92
-9.4697e-02,2.04,2.28,2.08,2.4
-9.4659e-02,2.04,1.72,2.08,1.92
-9.4620e-02,1.96,2.28,2.08,2.32
-9.4582e-02,1.96,1.72,2.08,1.92
-9.4543e-02,1.96,2.28,2.08,2.32
-9.4505e-02,2.04,1.72,2.08,1.92
-9.4467e-02,2.04,2.28,2.08,2.32
-9.4428e-02,2.12,1.8,2.08,1.84
-9.4390e-02,2.04,2.28,2.08,2.32
-9.4351e-02,2.12,1.8,2.08,1.84
-9.4313e-02,2.12,2.28,2.08,2.32
-9.4275e-02,2.12,1.8,2,1.84
-9.4236e-02,2.04,2.28,2,2.24
-9.4198e-02,2.12,1.8,2,1.76
-9.4159e-02,2.04,2.36,2,2.24
-9.4121e-02,2.12,1.8,1.92,1.76
-9.4083e-02,2.12,2.36,1.92,2.24
-9.4044e-02,2.12,1.8,2,1.76
-9.4006e-02,2.12,2.36,2,2.16
-9.3967e-02,2.12,1.8,1.92,1.68
-9.3929e-02,2.12,2.36,1.92,2.16
-9.3891e-02,2.12,1.8,1.92,1.76
-9.3852e-02,2.12,2.28,1.92,2.16
-9.3814e-02,2.12,1.8,1.92,1.68
-9.3775e-02,2.12,2.36,1.92,2.16
-9.3737e-02,2.12,1.8,1.84,1.6
-9.3699e-02,2.12,2.36,1.92,2.16
-9.3660e-02,2.12,1.8,1.84,1.6
-9.3622e-02,2.12,2.36,1.92,2.08
-9.3583e-02,2.12,1.8,1.84,1.6
-9.3545e-02,2.12,2.36,1.84,2.08
-9.3507e-02,2.12,1.88,1.84,1.6
-9.3468e-02,2.12,2.36,1.84,2
-9.3430e-02,2.12,1.88,1.84,1.6
-9.3391e-02,2.12,2.36,1.84,2
-9.3353e-02,2.12,1.8,1.84,1.52
-9.3315e-02,2.12,2.36,1.76,2.08
-9.3276e-02,2.12,1.8,1.76,1.52
-9.3238e-02,2.12,2.44,1.76,2
-9.3199e-02,2.12,1.88,1.76,1.52
-9.3161e-02,2.12,2.36,1.76,2
-9.3123e-02,2.2,1.88,1.76,1.52
-9.3084e-02,2.2,2.44,1.76,2
-9.3046e-02,2.12,1.8,1.76,1.44
-9.3007e-02,2.12,2.44,1.76,2
-9.2969e-02,2.12,1.72,1.68,1.44
-9.2931e-02,2.12,2.36,1.68,2
-9.2892e-02,2.12,1.72,1.68,1.44
-9.2854e-02,2.12,2.36,1.68,1.92
-9.2815e-02,2.12,1.8,1.68,1.44
-9.2777e-02,2.12,2.36,1.68,2
-9.2739e-02,2.12,1.8,1.6,1.36
-9.2700e-02,2.12,2.36,1.68,1.92
-9.2662e-02,2.12,1.8,1.68,1.36
-9.2623e-02,2.12,2.44,1.6,1.92
-9.2585e-02,2.12,1.8,1.6,1.36
-9.2547e-02,2.12,2.44,1.6,1.84
-9.2508e-02,2.12,1.8,1.6,1.36
-9.2470e-02,2.12,2.44,1.6,1.92
-9.2431e-02,2.12,1.8,1.52,1.36
-9.2393e-02,2.12,2.36,1.52,1.84
-9.2355e-02,2.12,1.8,1.52,1.36
-9.2316e-02,2.12,2.44,1.52,1.76
-9.2278e-02,2.12,1.72,1.52,1.28
-9.2239e-02,2.12,2.44,1.52,1.84
-9.2201e-02,2.12,1.8,1.52,1.28
-9.2163e-02,2.12,2.44,1.52,1.76
-9.2124e-02,2.12,1.8,1.52,1.28
-9.2086e-02,2.12,2.44,1.52,1.76
-9.2047e-02,2.12,1.8,1.44,1.2
-9.2009e-02,2.2,2.44,1.44,1.76
-9.1971e-02,2.12,1.8,1.44,1.2
-9.1932e-02,2.12,2.44,1.44,1.68
-9.1894e-02,2.12,1.72,1.44,1.2
-9.1855e-02,2.2,2.44,1.44,1.68
-9.1817e-02,2.2,1.72,1.44,1.2
-9.1778e-02,2.12,2.44,1.36,1.68
-9.1740e-02,2.12,1.72,1.44,1.2
-9.1702e-02,2.2,2.36,1.44,1.68
-9.1663e-02,2.12,1.72,1.36,1.2
-9.1625e-02,2.12,2.36,1.36,1.6
-9.1586e-02,2.12,1.72,1.36,1.2
-9.1548e-02,2.12,2.36,1.36,1.6
-9.1510e-02,2.12,1.72,1.28,1.12
-9.1471e-02,2.12,2.36,1.36,1.6
-9.1433e-02,2.12,1.72,1.28,1.12
-9.1394e-02,2.12,2.44,1.28,1.52
-9.1356e-02,2.12,1.8,1.28,1.04
-9.1318e-02,2.12,2.36,1.28,1.52
-9.1279e-02,2.12,1.8,1.2,1.04
-9.1241e-02,2.04,2.36,1.28,1.52
-9.1202e-02,2.12,1.8,1.28,1.04
-9.1164e-02,2.12,2.36,1.28,1.52
-9.1126e-02,2.12,1.88,1.28,1.04
-9.1087e-02,2.12,2.44,1.28,1.52
-9.1049e-02,2.12,1.96,1.2,1.12
-9.1010e-02,2.12,2.36,1.2,1.36
-9.0972e-02,2.12,2.04,1.2,1.04
-9.0934e-02,2.2,2.28,1.2,1.36
-9.0895e-02,2.12,2.04,1.2,1.04
-9.0857e-02,2.12,2.28,1.12,1.28
-9.0818e-02,2.12,2.04,1.2,1.04
-9.0780e-02,2.2,2.36,1.2,1.36
-9.0742e-02,2.2,2.04,1.2,1.04
-9.0703e-02,2.2,2.28,1.12,1.28
-9.0665e-02,2.2,2.04,1.12,1.04
-9.0626e-02,2.2,2.28,1.12,1.28
-9.0588e-02,2.2,2.04,1.12,1.04
-9.0550e-02,2.2,2.36,1.12,1.2
-9.0511e-02,2.2,1.96,1.12,1.04
-9.0473e-02,2.2,2.36,1.12,1.28
-9.0434e-02,2.12,2.12,1.12,1.04
-9.0396e-02,2.2,2.28,1.12,1.2
-9.0358e-02,2.2,1.96,1.12,0.96
-9.0319e-02,2.12,2.36,1.12,1.28
-9.0281e-02,2.12,2.04,1.12,1.04
-9.0242e-02,2.2,2.28,1.12,1.2
-9.0204e-02,2.2,2.04,1.12,0.96
-9.0166e-02,2.12,2.28,1.12,1.2
-9.0127e-02,2.12,2.12,1.12,0.96
-9.0089e-02,2.2,2.28,1.12,1.2
-9.0050e-02,2.2,2.04,1.12,0.96
-9.0012e-02,2.2,2.36,1.12,1.28
-8.9974e-02,2.12,2.12,1.12,0.96
-8.9935e-02,2.2,2.28,1.12,1.2
