Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,,,
Horizontal Units,S,,,,,
Horizontal Scale,0.01,,,,,
Sample Interval,1.92012e-05,,,,,
Filter Frequency,2e+08,,,,,
Record Length,5208,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,,10,
Vertical Units,V,,V,,V,
Vertical Offset,0,,0,,0,
Vertical Scale,1,,0.5,,0.2,
Label,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect
7.2026e-02,0.52,0.32,0.66,0.5,-0.212,-0.252
7.2045e-02,0.48,0.6,0.66,0.84,-0.212,-0.18
7.2064e-02,0.4,0.2,0.64,0.48,-0.212,-0.26
7.2083e-02,0.36,0.44,0.62,0.82,-0.228,-0.196
7.2103e-02,0.28,0.12,0.62,0.56,-0.236,-0.276
7.2122e-02,0.24,0.36,0.62,0.7,-0.26,-0.212
7.2141e-02,0.2,-1.43051e-08,0.78,0.44,-0.252,-0.276
7.2160e-02,0.16,0.28,0.64,0.8,-0.244,-0.212
7.2179e-02,0.12,-0.04,0.64,0.5,-0.236,-0.268
7.2199e-02,0.12,0.2,0.62,0.82,-0.236,-0.212
7.2218e-02,0.08,-0.08,0.64,0.48,-0.252,-0.284
7.2237e-02,0.04,0.16,0.64,0.8,-0.268,-0.228
7.2256e-02,0.04,-0.16,0.62,0.5,-0.268,-0.292
7.2275e-02,-1.43051e-08,0.12,0.6,0.8,-0.268,-0.228
7.2295e-02,-1.43051e-08,-0.08,0.62,0.56,-0.276,-0.308
7.2314e-02,-0.04,0.04,0.62,0.68,-0.276,-0.244
7.2333e-02,-1.43051e-08,-0.16,0.62,0.46,-0.284,-0.316
7.2352e-02,-0.04,0.08,0.62,0.78,-0.284,-0.252
7.2371e-02,-0.04,-0.12,0.64,0.5,-0.284,-0.292
7.2391e-02,-0.04,0.12,0.62,0.82,-0.268,-0.244
7.2410e-02,-0.04,-0.12,0.64,0.5,-0.276,-0.308
7.2429e-02,-0.08,0.04,0.62,0.8,-0.284,-0.252
7.2448e-02,-0.08,-0.12,0.62,0.48,-0.292,-0.308
7.2467e-02,-0.04,0.04,0.6,0.8,-0.292,-0.252
7.2487e-02,-0.04,-0.12,0.6,0.56,-0.284,-0.324
7.2506e-02,-0.08,-1.43051e-08,0.62,0.7,-0.292,-0.26
7.2525e-02,-0.04,-0.12,0.6,0.5,-0.3,-0.34
7.2544e-02,-0.04,0.04,0.62,0.78,-0.3,-0.276
7.2563e-02,-0.04,-0.08,0.64,0.5,-0.292,-0.324
7.2583e-02,-0.04,0.04,0.62,0.8,-0.3,-0.268
7.2602e-02,-0.04,-0.08,0.64,0.5,-0.292,-0.34
7.2621e-02,-0.04,0.04,0.62,0.78,-0.316,-0.276
7.2640e-02,-1.43051e-08,-0.08,0.64,0.54,-0.324,-0.34
7.2659e-02,-1.43051e-08,0.04,0.62,0.68,-0.324,-0.292
7.2679e-02,-1.43051e-08,-0.08,0.62,0.52,-0.316,-0.34
7.2698e-02,-1.43051e-08,0.04,0.64,0.76,-0.316,-0.284
7.2717e-02,-0.04,-0.08,0.62,0.52,-0.308,-0.34
7.2736e-02,-0.04,0.04,0.64,0.8,-0.324,-0.284
7.2755e-02,-0.04,-0.08,0.62,0.5,-0.324,-0.348
7.2775e-02,-1.43051e-08,0.04,0.64,0.78,-0.332,-0.3
7.2794e-02,-1.43051e-08,-0.08,0.62,0.52,-0.332,-0.364
7.2813e-02,-1.43051e-08,0.04,0.6,0.74,-0.34,-0.308
7.2832e-02,-0.04,-0.08,0.64,0.54,-0.34,-0.364
7.2851e-02,-1.43051e-08,0.04,0.62,0.68,-0.356,-0.316
7.2871e-02,-1.43051e-08,-0.08,0.6,0.5,-0.348,-0.364
7.2890e-02,-1.43051e-08,0.04,0.62,0.78,-0.34,-0.308
7.2909e-02,-1.43051e-08,-0.08,0.64,0.5,-0.34,-0.356
7.2928e-02,-1.43051e-08,0.04,0.66,0.78,-0.332,-0.308
7.2947e-02,-1.43051e-08,-0.08,0.64,0.5,-0.34,-0.372
7.2967e-02,-1.43051e-08,0.04,0.62,0.78,-0.34,-0.308
7.2986e-02,-1.43051e-08,-0.08,0.62,0.46,-0.348,-0.396
7.3005e-02,-1.43051e-08,0.04,0.62,0.78,-0.356,-0.332
7.3024e-02,-1.43051e-08,-0.08,0.58,0.54,-0.356,-0.404
7.3043e-02,-0.04,0.04,0.58,0.66,-0.38,-0.348
7.3063e-02,-1.43051e-08,-0.08,0.6,0.48,-0.38,-0.404
7.3082e-02,-1.43051e-08,0.04,0.62,0.78,-0.372,-0.34
7.3101e-02,-1.43051e-08,-0.08,0.62,0.52,-0.356,-0.388
7.3120e-02,-1.43051e-08,0.04,0.64,0.8,-0.356,-0.332
7.3139e-02,-1.43051e-08,-0.08,0.64,0.5,-0.356,-0.396
7.3159e-02,-1.43051e-08,0.04,0.64,0.8,-0.372,-0.34
7.3178e-02,-0.04,-0.08,0.64,0.58,-0.372,-0.404
7.3197e-02,-1.43051e-08,0.04,0.62,0.68,-0.388,-0.356
7.3216e-02,-1.43051e-08,-0.08,0.6,0.48,-0.396,-0.42
7.3235e-02,-1.43051e-08,0.04,0.6,0.8,-0.396,-0.364
7.3255e-02,-1.43051e-08,-0.08,0.6,0.5,-0.388,-0.412
7.3274e-02,-1.43051e-08,0.08,0.62,0.78,-0.396,-0.364
7.3293e-02,-1.43051e-08,-0.08,0.64,0.52,-0.372,-0.404
7.3312e-02,-1.43051e-08,0.04,0.64,0.82,-0.372,-0.348
7.3331e-02,-1.43051e-08,-0.08,0.64,0.52,-0.364,-0.404
7.3351e-02,-0.04,0.04,0.66,0.82,-0.38,-0.348
7.3370e-02,-1.43051e-08,-0.08,0.62,0.6,-0.388,-0.412
7.3389e-02,-1.43051e-08,0.04,0.62,0.7,-0.388,-0.364
7.3408e-02,-1.43051e-08,-0.08,0.62,0.5,-0.404,-0.428
7.3427e-02,-1.43051e-08,0.08,0.62,0.82,-0.404,-0.372
7.3447e-02,-1.43051e-08,-0.08,0.62,0.5,-0.412,-0.436
7.3466e-02,-1.43051e-08,0.04,0.64,0.82,-0.404,-0.38
7.3485e-02,-1.43051e-08,-0.08,0.62,0.52,-0.396,-0.42
7.3504e-02,-1.43051e-08,0.04,0.66,0.84,-0.38,-0.356
7.3524e-02,-1.43051e-08,-0.08,0.64,0.54,-0.38,-0.404
7.3543e-02,-1.43051e-08,0.04,0.68,0.86,-0.388,-0.356
7.3562e-02,-1.43051e-08,-0.08,0.68,0.62,-0.388,-0.404
7.3581e-02,-0.04,0.04,0.66,0.74,-0.38,-0.356
7.3600e-02,-1.43051e-08,-0.08,0.68,0.54,-0.388,-0.42
7.3620e-02,-1.43051e-08,0.04,0.66,0.84,-0.38,-0.364
7.3639e-02,-1.43051e-08,-0.08,0.64,0.52,-0.396,-0.42
7.3658e-02,-1.43051e-08,0.04,0.68,0.8,-0.404,-0.372
7.3677e-02,-1.43051e-08,-0.08,0.68,0.56,-0.396,-0.412
7.3696e-02,-1.43051e-08,0.04,0.7,0.9,-0.372,-0.34
7.3716e-02,-1.43051e-08,-0.2,0.72,0.62,-0.364,-0.396
7.3735e-02,-0.04,0.04,0.72,0.84,-0.364,-0.34
7.3754e-02,-0.16,-0.24,0.74,0.62,-0.364,-0.396
7.3773e-02,-0.04,0.08,0.72,0.86,-0.372,-0.34
7.3792e-02,0.04,-0.12,0.72,0.6,-0.372,-0.404
7.3812e-02,0.08,0.2,0.7,0.86,-0.38,-0.356
7.3831e-02,0.16,0.04,0.72,0.58,-0.396,-0.42
7.3850e-02,0.24,0.4,0.7,0.84,-0.396,-0.364
7.3869e-02,0.32,0.24,0.7,0.6,-0.388,-0.404
7.3888e-02,0.4,0.56,0.72,0.9,-0.38,-0.34
7.3908e-02,0.48,0.44,0.72,0.7,-0.364,-0.38
7.3927e-02,0.56,0.68,0.76,0.8,-0.348,-0.324
7.3946e-02,0.64,0.44,0.74,0.64,-0.348,-0.364
7.3965e-02,0.72,0.84,0.76,0.92,-0.34,-0.324
7.3984e-02,0.76,0.64,0.74,0.66,-0.34,-0.372
7.4004e-02,0.88,1,0.76,0.94,-0.348,-0.316
7.4023e-02,0.88,0.72,0.76,0.66,-0.356,-0.38
7.4042e-02,0.88,1.04,0.78,0.92,-0.348,-0.324
7.4061e-02,0.92,0.76,0.78,0.68,-0.34,-0.372
7.4080e-02,0.92,1.08,0.78,0.94,-0.34,-0.308
7.4100e-02,1,0.92,0.78,0.74,-0.324,-0.348
7.4119e-02,1,1.08,0.8,0.88,-0.316,-0.284
7.4138e-02,1.04,0.88,0.82,0.72,-0.308,-0.324
7.4157e-02,1.08,1.2,0.84,0.98,-0.292,-0.268
7.4176e-02,1.12,0.96,0.82,0.74,-0.292,-0.324
7.4196e-02,1.24,1.36,0.82,1,-0.292,-0.276
7.4215e-02,1.2,1,0.84,0.72,-0.308,-0.332
7.4234e-02,1.24,1.36,0.82,0.96,-0.308,-0.284
7.4253e-02,1.24,1.16,0.82,0.74,-0.324,-0.332
7.4272e-02,1.28,1.32,0.84,0.94,-0.316,-0.284
7.4292e-02,1.24,1.08,0.82,0.74,-0.3,-0.324
7.4311e-02,1.28,1.4,0.86,0.98,-0.292,-0.26
7.4330e-02,1.36,1.16,0.9,0.78,-0.268,-0.3
7.4349e-02,1.4,1.52,0.86,1.04,-0.268,-0.244
7.4368e-02,1.44,1.28,0.88,0.76,-0.252,-0.292
7.4388e-02,1.48,1.64,0.86,1.02,-0.276,-0.236
7.4407e-02,1.52,1.36,0.86,0.78,-0.268,-0.292
7.4426e-02,1.52,1.68,0.88,1.02,-0.276,-0.244
7.4445e-02,1.52,1.48,0.88,0.82,-0.276,-0.292
7.4464e-02,1.56,1.64,0.86,0.92,-0.268,-0.244
7.4484e-02,1.56,1.4,0.86,0.78,-0.268,-0.284
7.4503e-02,1.56,1.72,0.9,1.04,-0.252,-0.22
7.4522e-02,1.64,1.48,0.9,0.82,-0.236,-0.26
7.4541e-02,1.68,1.8,0.94,1.08,-0.22,-0.212
7.4560e-02,1.76,1.56,0.94,0.84,-0.22,-0.252
7.4580e-02,1.76,1.92,0.94,1.08,-0.228,-0.204
7.4599e-02,1.8,1.64,0.92,0.82,-0.236,-0.26
7.4618e-02,1.84,2,0.92,1.06,-0.236,-0.204
7.4637e-02,1.84,1.8,0.9,0.86,-0.236,-0.252
7.4656e-02,1.84,1.92,0.9,0.98,-0.228,-0.204
7.4676e-02,1.88,1.68,0.9,0.84,-0.228,-0.252
7.4695e-02,1.88,2.04,0.94,1.08,-0.22,-0.196
7.4714e-02,1.92,1.76,0.94,0.84,-0.212,-0.228
7.4733e-02,2.04,2.12,0.94,1.1,-0.204,-0.18
7.4752e-02,2,1.84,0.94,0.86,-0.204,-0.22
7.4772e-02,2.04,2.2,0.96,1.1,-0.196,-0.172
7.4791e-02,2,2,0.94,0.86,-0.196,-0.22
7.4810e-02,2.08,2.2,0.96,1.1,-0.204,-0.172
7.4829e-02,2.12,1.92,0.94,0.86,-0.196,-0.22
7.4848e-02,2.12,2.24,0.98,1.1,-0.196,-0.164
7.4868e-02,2.12,1.96,0.96,0.84,-0.196,-0.212
7.4887e-02,2.16,2.28,0.96,1.12,-0.196,-0.164
7.4906e-02,2.2,2,0.96,0.88,-0.18,-0.204
7.4925e-02,2.2,2.36,1,1.12,-0.172,-0.148
7.4944e-02,2.24,2.08,0.98,0.88,-0.156,-0.188
7.4964e-02,2.28,2.44,1,1.14,-0.164,-0.14
7.4983e-02,2.28,2.24,0.98,0.94,-0.164,-0.188
7.5002e-02,2.32,2.36,1,1.02,-0.172,-0.14
7.5021e-02,2.32,2.12,1,0.88,-0.164,-0.188
7.5040e-02,2.36,2.48,1.02,1.14,-0.164,-0.14
7.5060e-02,2.36,2.16,0.98,0.88,-0.164,-0.188
7.5079e-02,2.36,2.52,0.98,1.14,-0.164,-0.132
7.5098e-02,2.36,2.16,0.98,0.9,-0.164,-0.172
7.5117e-02,2.36,2.52,0.98,1.14,-0.148,-0.116
7.5136e-02,2.4,2.24,1,0.92,-0.14,-0.164
7.5156e-02,2.4,2.6,1.04,1.16,-0.14,-0.108
7.5175e-02,2.44,2.36,1,0.96,-0.14,-0.156
7.5194e-02,2.48,2.56,1,1.08,-0.132,-0.116
7.5213e-02,2.48,2.28,1,0.92,-0.132,-0.164
7.5232e-02,2.48,2.64,1.04,1.16,-0.14,-0.108
7.5252e-02,2.52,2.32,1,0.88,-0.14,-0.156
7.5271e-02,2.52,2.64,1,1.14,-0.14,-0.108
7.5290e-02,2.52,2.32,1,0.92,-0.132,-0.148
7.5309e-02,2.52,2.64,1,1.16,-0.124,-0.1
7.5328e-02,2.56,2.48,1.02,0.94,-0.124,-0.14
7.5348e-02,2.56,2.64,1.02,1.18,-0.124,-0.092
7.5367e-02,2.6,2.4,1.02,0.94,-0.108,-0.14
7.5386e-02,2.6,2.72,1.02,1.18,-0.108,-0.084
7.5405e-02,2.6,2.4,1.04,0.92,-0.108,-0.14
7.5424e-02,2.64,2.76,1,1.18,-0.124,-0.092
7.5444e-02,2.64,2.4,1.04,0.92,-0.116,-0.14
7.5463e-02,2.6,2.76,1.02,1.16,-0.124,-0.084
7.5482e-02,2.64,2.4,1,0.92,-0.116,-0.132
7.5501e-02,2.64,2.76,1.02,1.16,-0.108,-0.076
7.5520e-02,2.64,2.56,1.04,0.98,-0.1,-0.124
7.5540e-02,2.68,2.72,1.06,1.08,-0.092,-0.068
7.5559e-02,2.64,2.44,1.04,0.94,-0.092,-0.116
7.5578e-02,2.64,2.8,1.02,1.18,-0.084,-0.06
7.5597e-02,2.68,2.52,1.04,0.94,-0.092,-0.108
7.5616e-02,2.72,2.88,1.04,1.2,-0.092,-0.06
7.5636e-02,2.72,2.52,1.04,0.92,-0.092,-0.108
7.5655e-02,2.72,2.84,1.02,1.18,-0.084,-0.06
7.5674e-02,2.72,2.52,1.04,0.94,-0.092,-0.108
7.5693e-02,2.72,2.88,1.06,1.18,-0.092,-0.052
7.5712e-02,2.76,2.64,1.04,1,-0.068,-0.1
7.5732e-02,2.72,2.8,1.04,1.1,-0.076,-0.044
7.5751e-02,2.76,2.56,1.06,0.96,-0.068,-0.1
7.5770e-02,2.76,2.88,1.06,1.18,-0.068,-0.036
7.5789e-02,2.76,2.56,1.04,0.94,-0.06,-0.1
7.5808e-02,2.8,2.88,1,1.18,-0.084,-0.044
7.5828e-02,2.76,2.6,1.04,0.94,-0.076,-0.092
7.5847e-02,2.76,2.88,1.04,1.2,-0.084,-0.044
7.5866e-02,2.76,2.64,1.06,0.94,-0.076,-0.092
7.5885e-02,2.72,2.84,1.04,1.18,-0.068,-0.044
7.5904e-02,2.76,2.56,1.02,0.94,-0.068,-0.092
7.5924e-02,2.72,2.88,1.04,1.18,-0.076,-0.036
7.5943e-02,2.76,2.56,1.04,0.94,-0.06,-0.084
7.5962e-02,2.76,2.88,1.04,1.2,-0.044,-0.028
7.5981e-02,2.76,2.56,1.02,0.94,-0.052,-0.076
7.6000e-02,2.76,2.92,1.06,1.2,-0.052,-0.02
7.6020e-02,2.76,2.56,1.02,0.92,-0.06,-0.076
7.6039e-02,2.8,2.92,1.04,1.2,-0.052,-0.028
7.6058e-02,2.76,2.68,1.04,1,-0.052,-0.076
7.6077e-02,2.76,2.8,1.06,1.1,-0.052,-0.028
7.6096e-02,2.76,2.56,1.04,0.94,-0.044,-0.068
7.6116e-02,2.76,2.92,1.04,1.22,-0.036,-0.02
7.6135e-02,2.76,2.6,1.06,0.94,-0.052,-0.06
7.6154e-02,2.8,2.92,1.04,1.2,-0.044,-0.012
7.6173e-02,2.8,2.6,1.06,0.96,-0.036,-0.06
7.6192e-02,2.8,2.92,1.06,1.2,-0.044,-0.012
7.6212e-02,2.8,2.6,1.06,0.94,-0.036,-0.06
7.6231e-02,2.8,2.92,1.04,1.18,-0.044,-0.012
7.6250e-02,2.84,2.72,1.06,1,-0.028,-0.06
7.6269e-02,2.8,2.84,1.04,1.1,-0.028,-0.012
7.6288e-02,2.76,2.6,1.04,0.94,-0.036,-0.052
7.6308e-02,2.8,2.88,1.04,1.2,-0.02,-0.004
7.6327e-02,2.76,2.56,1.06,0.94,-0.02,-0.052
7.6346e-02,2.8,2.92,1.08,1.2,-0.02,0.004
7.6365e-02,2.84,2.6,1.08,0.96,-0.028,-0.044
7.6384e-02,2.8,2.96,1.06,1.22,-0.028,0.012
7.6404e-02,2.8,2.68,1.04,0.94,-0.012,-0.044
7.6423e-02,2.8,2.88,1.04,1.18,-0.02,0.004
7.6442e-02,2.8,2.6,1.04,0.94,-0.02,-0.044
7.6461e-02,2.8,2.92,1.04,1.22,-0.012,0.004
7.6480e-02,2.8,2.6,1.04,0.92,-0.012,-0.036
7.6500e-02,2.76,2.92,1.06,1.2,-0.012,0.012
7.6519e-02,2.76,2.6,1.06,0.94,-0.02,-0.036
7.6538e-02,2.8,2.92,1.06,1.22,0.004,0.02
7.6557e-02,2.8,2.6,1.08,0.96,-0.004,-0.028
7.6576e-02,2.8,2.92,1.04,1.22,0.004,0.02
7.6596e-02,2.8,2.72,1.08,1,-0.004,-0.02
7.6615e-02,2.8,2.88,1.04,1.12,0.004,0.02
7.6634e-02,2.84,2.64,1.04,0.96,-0.012,-0.02
7.6653e-02,2.84,2.92,1.08,1.22,0.004,0.028
7.6673e-02,2.8,2.6,1.04,0.96,-0.004,-0.028
7.6692e-02,2.8,2.92,1.04,1.2,0.004,0.028
7.6711e-02,2.8,2.64,1.06,0.96,0.004,-0.02
7.6730e-02,2.8,2.92,1.04,1.22,-0.004,0.028
7.6749e-02,2.8,2.64,1.06,0.94,0.004,-0.02
7.6769e-02,2.72,2.96,1.06,1.22,0.004,0.036
7.6788e-02,2.84,2.72,1.06,0.98,0.004,-0.02
7.6807e-02,2.8,2.88,1.06,1.1,0.004,0.028
7.6826e-02,2.76,2.6,1.02,0.94,-0.004,-0.02
7.6845e-02,2.76,2.96,1.04,1.22,-0.004,0.028
7.6865e-02,2.76,2.52,1.06,0.94,0.02,-0.02
7.6884e-02,2.76,2.92,0.96,1.22,0.004,0.028
7.6903e-02,2.76,2.44,1.04,0.92,-0.004,-0.02
7.6922e-02,2.72,2.84,1,1.2,0.004,0.028
7.6941e-02,2.68,2.52,1.02,0.96,-0.004,-0.02
7.6961e-02,2.64,2.76,1.02,1.12,-0.004,0.028
7.6980e-02,2.64,2.4,1.02,0.94,-0.004,-0.02
7.6999e-02,2.6,2.8,1.02,1.2,0.012,0.028
7.7018e-02,2.64,2.36,1.02,0.92,0.004,-0.02
7.7037e-02,2.64,2.8,1,1.2,0.004,0.028
7.7057e-02,2.6,2.36,1,0.9,0.004,-0.02
7.7076e-02,2.6,2.8,1.02,1.2,0.004,0.028
7.7095e-02,2.6,2.32,1,0.9,-0.004,-0.02
7.7114e-02,2.56,2.76,1.02,1.18,0.004,0.028
7.7133e-02,2.56,2.44,1.02,0.96,0.004,-0.02
7.7153e-02,2.56,2.64,1.02,1.06,-0.004,0.028
7.7172e-02,2.56,2.28,1,0.9,-0.004,-0.02
7.7191e-02,2.56,2.76,1,1.18,0.012,0.028
7.7210e-02,2.52,2.24,1.04,0.9,0.004,-0.02
7.7229e-02,2.52,2.72,1.02,1.18,0.004,0.028
7.7249e-02,2.52,2.24,1.02,0.9,-0.004,-0.028
7.7268e-02,2.52,2.68,1,1.18,-0.004,0.028
7.7287e-02,2.48,2.2,1.02,0.9,0.004,-0.02
7.7306e-02,2.48,2.64,0.98,1.18,-0.004,0.036
7.7325e-02,2.44,2.36,1,0.96,0.004,-0.02
7.7345e-02,2.44,2.56,1,1.06,0.004,0.028
7.7364e-02,2.44,2.16,1,0.9,0.004,-0.02
7.7383e-02,2.48,2.6,1,1.18,0.004,0.028
7.7402e-02,2.44,2.16,1,0.88,0.02,-0.02
7.7421e-02,2.52,2.64,1.04,1.18,0.012,0.028
7.7441e-02,2.44,2.12,1,0.88,0.004,-0.02
7.7460e-02,2.44,2.6,0.98,1.18,0.004,0.028
7.7479e-02,2.4,2.24,1,0.9,0.012,-0.02
7.7498e-02,2.4,2.48,0.98,1.08,0.004,0.028
7.7517e-02,2.4,2.12,0.98,0.88,0.004,-0.02
7.7537e-02,2.36,2.6,0.98,1.18,-0.004,0.028
7.7556e-02,2.36,2.08,1,0.88,0.004,-0.02
7.7575e-02,2.36,2.56,0.98,1.18,0.004,0.028
7.7594e-02,2.4,2.08,1,0.86,0.004,-0.028
7.7613e-02,2.36,2.56,1.08,1.18,-0.004,0.036
7.7633e-02,2.36,2.08,0.98,0.86,0.004,-0.02
7.7652e-02,2.32,2.52,0.98,1.18,-0.004,0.036
7.7671e-02,2.36,2.24,0.98,0.94,-0.004,-0.028
7.7690e-02,2.32,2.4,1,1.04,0.004,0.028
7.7709e-02,2.28,2.04,0.98,0.86,-0.012,-0.02
7.7729e-02,2.32,2.52,0.98,1.18,-0.012,0.028
7.7748e-02,2.28,2,0.98,0.86,0.004,-0.02
7.7767e-02,2.28,2.48,0.98,1.16,-0.004,0.028
7.7786e-02,2.28,2,1,0.86,0.004,-0.02
7.7805e-02,2.28,2.48,1,1.18,-0.004,0.028
7.7825e-02,2.24,2,0.96,0.86,-0.004,-0.02
7.7844e-02,2.24,2.44,0.98,1.16,0.012,0.028
7.7863e-02,2.16,2.16,0.98,0.92,0.004,-0.02
7.7882e-02,2.24,2.36,0.96,1.04,0.004,0.028
7.7901e-02,2.24,1.96,0.96,0.84,0.004,-0.02
7.7921e-02,2.24,2.44,0.98,1.16,-0.004,0.028
7.7940e-02,2.2,1.92,0.98,0.84,0.004,-0.02
7.7959e-02,2.28,2.4,1.02,1.16,-0.02,0.036
7.7978e-02,2.2,1.92,0.96,0.84,0.004,-0.02
7.7997e-02,2.2,2.4,0.98,1.16,-0.004,0.028
7.8017e-02,2.2,2.04,0.98,0.9,0.004,-0.02
7.8036e-02,2.2,2.28,0.98,1.08,-0.004,0.028
7.8055e-02,2.16,1.92,0.96,0.84,0.004,-0.02
7.8074e-02,2.16,2.36,0.96,1.14,0.004,0.028
7.8093e-02,2.2,1.88,0.98,0.84,-0.004,-0.02
7.8113e-02,2.16,2.36,0.96,1.16,0.012,0.028
7.8132e-02,2.16,1.88,0.94,0.82,-0.004,-0.02
7.8151e-02,2.16,2.36,0.98,1.14,-0.012,0.036
7.8170e-02,2.16,1.84,0.94,0.84,0.004,-0.028
7.8189e-02,2.16,2.32,0.96,1.14,0.004,0.028
7.8209e-02,2.12,2.04,0.96,0.9,0.004,-0.02
7.8228e-02,2.16,2.2,0.96,1.02,-0.004,0.028
7.8247e-02,2.12,1.84,0.96,0.84,-0.004,-0.02
7.8266e-02,2.08,2.32,0.96,1.14,0.004,0.028
7.8285e-02,2.08,1.84,0.96,0.84,0.004,-0.02
7.8305e-02,2.12,2.28,0.98,1.14,-0.004,0.028
7.8324e-02,2.08,1.84,0.94,0.82,-0.004,-0.02
7.8343e-02,2.12,2.24,0.96,1.14,-0.004,0.028
7.8362e-02,2.08,1.92,0.94,0.84,0.004,-0.02
7.8381e-02,2.08,2.2,0.96,1.12,0.004,0.028
7.8401e-02,2,1.84,0.92,0.82,0.004,-0.02
7.8420e-02,2.08,2.2,0.94,1.14,0.004,0.028
7.8439e-02,2.08,1.84,0.98,0.82,0.004,-0.02
7.8458e-02,2.08,2.2,0.94,1.16,-0.004,0.028
7.8477e-02,2.04,1.84,0.94,0.8,-0.004,-0.02
7.8497e-02,2.04,2.16,0.94,1.16,0.004,0.028
7.8516e-02,2.04,1.8,0.96,0.8,-0.004,-0.02
7.8535e-02,2.04,2.16,0.94,1.18,0.004,0.036
7.8554e-02,2.08,1.96,0.94,0.9,-0.004,-0.02
7.8573e-02,2.08,2.08,1,1.02,0.004,0.028
7.8593e-02,2.08,1.84,0.96,0.84,0.004,-0.02
7.8612e-02,2.04,2.16,0.96,1.14,0.004,0.028
7.8631e-02,2,1.88,0.94,0.86,0.004,-0.02
7.8650e-02,2,2.12,0.96,1.1,0.004,0.036
7.8669e-02,2,1.92,0.98,0.84,0.012,-0.02
7.8689e-02,2,2.16,0.96,1.1,0.004,0.028
7.8708e-02,2,1.88,0.94,0.82,0.004,-0.02
7.8727e-02,2,2.16,0.94,1.1,-0.004,0.028
7.8746e-02,2,1.92,0.94,0.88,-0.012,-0.02
7.8765e-02,1.96,2.04,0.94,1,0.004,0.028
7.8785e-02,1.96,1.88,0.94,0.84,0.004,-0.02
7.8804e-02,2,2.12,0.94,1.1,0.004,0.028
7.8823e-02,2,1.88,0.94,0.84,-0.004,-0.02
7.8842e-02,1.96,2.12,0.94,1.08,-0.004,0.028
7.8861e-02,1.96,1.88,0.94,0.84,0.004,-0.02
7.8881e-02,2,2.12,0.96,1.06,0.012,0.028
7.8900e-02,1.92,1.88,0.94,0.88,0.004,-0.02
7.8919e-02,1.96,2,0.96,1.02,0.004,0.028
7.8938e-02,1.92,1.84,0.9,0.84,-0.004,-0.02
7.8957e-02,1.92,2.04,0.94,1.06,-0.012,0.028
7.8977e-02,1.92,1.84,0.94,0.84,0.004,-0.02
7.8996e-02,1.96,2.04,0.94,1.06,-0.004,0.028
7.9015e-02,1.92,1.84,0.92,0.84,0.004,-0.02
7.9034e-02,1.92,2.04,0.96,1.04,0.004,0.036
7.9053e-02,1.92,1.84,0.94,0.84,0.012,-0.02
7.9073e-02,1.92,2,0.92,1.04,0.012,0.028
7.9092e-02,1.88,1.84,0.92,0.86,0.004,-0.02
7.9111e-02,1.88,1.96,0.92,0.98,-0.004,0.028
7.9130e-02,1.88,1.8,0.94,0.86,-0.004,-0.02
7.9149e-02,1.88,2,0.94,1.02,-0.004,0.028
7.9169e-02,1.88,1.84,0.92,0.88,0.004,-0.02
7.9188e-02,1.92,1.96,0.92,1.02,0.004,0.028
7.9207e-02,1.88,1.84,0.9,0.86,0.004,-0.02
7.9226e-02,1.88,1.96,0.92,1.02,-0.004,0.028
7.9245e-02,1.88,1.84,0.94,0.86,-0.004,-0.02
7.9265e-02,1.88,1.96,0.94,1.02,-0.004,0.036
7.9284e-02,1.88,1.8,0.94,0.86,0.004,-0.02
7.9303e-02,1.84,1.96,0.92,1,0.004,0.028
7.9322e-02,1.88,1.8,0.94,0.86,0.004,-0.02
7.9341e-02,1.88,1.96,0.92,1,0.012,0.028
7.9361e-02,1.88,1.8,0.92,0.84,0.004,-0.02
7.9380e-02,1.88,1.92,0.96,1,0.004,0.028
7.9399e-02,1.84,1.8,0.94,0.86,-0.004,-0.02
7.9418e-02,1.84,1.92,0.94,1,0.004,0.028
7.9437e-02,1.84,1.8,0.92,0.86,-0.004,-0.02
7.9457e-02,1.84,1.92,0.94,1.02,0.004,0.028
7.9476e-02,1.88,1.8,0.92,0.86,-0.004,-0.02
7.9495e-02,1.84,1.92,0.92,1,0.004,0.028
7.9514e-02,1.84,1.76,0.9,0.86,0.004,-0.028
7.9533e-02,1.84,1.92,0.94,0.98,0.004,0.028
7.9553e-02,1.84,1.76,0.92,0.86,0.012,-0.02
7.9572e-02,1.84,1.92,0.92,0.98,0.004,0.028
7.9591e-02,1.84,1.76,0.92,0.86,0.004,-0.02
7.9610e-02,1.84,1.92,0.92,1,0.004,0.028
7.9629e-02,1.84,1.76,0.92,0.86,0.004,-0.02
7.9649e-02,1.88,1.92,0.94,0.98,-0.004,0.028
7.9668e-02,1.84,1.76,0.92,0.84,-0.004,-0.02
7.9687e-02,1.8,1.88,0.92,1,-0.004,0.028
7.9706e-02,1.84,1.76,0.92,0.84,-0.004,-0.02
7.9725e-02,1.76,1.88,0.9,1,0.004,0.028
7.9745e-02,1.84,1.76,0.9,0.86,0.004,-0.02
