Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.000768049,
Filter Frequency,2e+08,
Record Length,5200,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,5,
Label,,
TIME,CH1,CH1 Peak Detect
-1.7942e+00,9.6,9
-1.7934e+00,9.4,10
-1.7926e+00,9.4,9
-1.7919e+00,9.4,10
-1.7911e+00,9.8,9.2
-1.7903e+00,9.6,10
-1.7896e+00,9.6,9.2
-1.7888e+00,9.8,10.2
-1.7880e+00,9.8,9.2
-1.7873e+00,9.8,10.2
-1.7865e+00,9.6,9.2
-1.7857e+00,9.6,10.2
-1.7849e+00,9.8,9.2
-1.7842e+00,9.8,10.2
-1.7834e+00,9.6,9.2
-1.7826e+00,9.6,10.2
-1.7819e+00,9.8,9.2
-1.7811e+00,9.8,10.2
-1.7803e+00,9.8,9.2
-1.7796e+00,9.4,10
-1.7788e+00,9.6,9
-1.7780e+00,9.4,10
-1.7773e+00,9.4,9
-1.7765e+00,9.6,10
-1.7757e+00,9.6,9
-1.7750e+00,9.6,10
-1.7742e+00,9.4,9.2
-1.7734e+00,9.6,10
-1.7727e+00,9.6,9.2
-1.7719e+00,9.6,10.2
-1.7711e+00,9.8,9.2
-1.7704e+00,9.8,10.2
-1.7696e+00,9.6,9.2
-1.7688e+00,9.6,10.2
-1.7680e+00,9.6,9.2
-1.7673e+00,9.6,10.2
-1.7665e+00,9.6,9.2
-1.7657e+00,9.8,10.2
-1.7650e+00,9.8,9.2
-1.7642e+00,10,10
-1.7634e+00,9.6,9.2
-1.7627e+00,9.6,10
-1.7619e+00,9.6,9
-1.7611e+00,9.6,10
-1.7604e+00,9.6,9
-1.7596e+00,9.4,10
-1.7588e+00,9.6,9
-1.7581e+00,9.6,10
-1.7573e+00,9.6,9.2
-1.7565e+00,9.4,10
-1.7558e+00,9.6,9.2
-1.7550e+00,9.8,10.2
-1.7542e+00,9.6,9.2
-1.7535e+00,9.8,10.2
-1.7527e+00,9.6,9.2
-1.7519e+00,9.8,10.2
-1.7512e+00,9.8,9.2
-1.7504e+00,9.6,10.2
-1.7496e+00,9.6,9.2
-1.7488e+00,9.6,10.2
-1.7481e+00,9.8,9.2
-1.7473e+00,9.6,10.2
-1.7465e+00,9.6,9
-1.7458e+00,9.6,10
-1.7450e+00,9.4,9
-1.7442e+00,9.4,10
-1.7435e+00,9.6,9
-1.7427e+00,9.6,10
-1.7419e+00,9.4,9
-1.7412e+00,9.4,10
-1.7404e+00,9.8,9.2
-1.7396e+00,9.6,10
-1.7389e+00,9.6,9.2
-1.7381e+00,9.6,10.2
-1.7373e+00,9.6,9.2
-1.7366e+00,9.6,10.2
-1.7358e+00,9.8,9.4
-1.7350e+00,9.6,10.2
-1.7343e+00,9.6,9.2
-1.7335e+00,9.8,10.2
-1.7327e+00,9.8,9.2
-1.7320e+00,9.6,10.2
-1.7312e+00,9.8,9.2
-1.7304e+00,9.6,10.2
-1.7296e+00,9.6,9
-1.7289e+00,9.4,10
-1.7281e+00,9.6,9
-1.7273e+00,9.4,10
-1.7266e+00,9.4,9
-1.7258e+00,9.6,10
-1.7250e+00,9.4,9.2
-1.7243e+00,9.4,10
-1.7235e+00,9.6,9.2
-1.7227e+00,9.6,10.2
-1.7220e+00,9.6,9.2
-1.7212e+00,9.6,10.2
-1.7204e+00,9.8,9.2
-1.7197e+00,9.8,10.2
-1.7189e+00,9.8,9.2
-1.7181e+00,9.6,10.2
-1.7174e+00,9.8,9.2
-1.7166e+00,9.8,10.2
-1.7158e+00,9.8,9.2
-1.7151e+00,9.6,10.2
-1.7143e+00,9.8,9.2
-1.7135e+00,9.8,10
-1.7127e+00,9.8,9
-1.7120e+00,9.6,10
-1.7112e+00,9.6,9
-1.7104e+00,9.6,10
-1.7097e+00,9.4,9
-1.7089e+00,9.4,10
-1.7081e+00,9.4,9
-1.7074e+00,9.6,10
-1.7066e+00,9.6,9.2
-1.7058e+00,9.8,10
-1.7051e+00,9.8,9.2
-1.7043e+00,9.8,10.2
-1.7035e+00,9.8,9.2
-1.7028e+00,9.8,10.2
-1.7020e+00,9.8,9.2
-1.7012e+00,9.6,10.2
-1.7005e+00,9.6,9.2
-1.6997e+00,9.8,10.2
-1.6989e+00,9.8,9.2
-1.6982e+00,9.8,10.2
-1.6974e+00,9.6,9.2
-1.6966e+00,9.6,10
-1.6959e+00,9.6,9
-1.6951e+00,9.6,10
-1.6943e+00,9.6,9
-1.6935e+00,9.4,10
-1.6928e+00,9.6,9
-1.6920e+00,9.6,10
-1.6912e+00,9.4,9
-1.6905e+00,9.6,10
-1.6897e+00,9.6,9.2
-1.6889e+00,9.6,10
-1.6882e+00,9.8,9.2
-1.6874e+00,9.6,10.2
-1.6866e+00,9.6,9.4
-1.6859e+00,9.6,10.2
-1.6851e+00,9.8,9.2
-1.6843e+00,9.8,10.2
-1.6836e+00,9.8,9.2
-1.6828e+00,9.6,10.2
-1.6820e+00,9.6,9.2
-1.6813e+00,9.6,10
-1.6805e+00,9.8,9.2
-1.6797e+00,9.6,10
-1.6790e+00,9.4,9
-1.6782e+00,9.6,10
-1.6774e+00,9.6,9
-1.6767e+00,9.6,10
-1.6759e+00,9.4,9
-1.6751e+00,9.4,10
-1.6743e+00,9.4,9.2
-1.6736e+00,9.6,10
-1.6728e+00,9.6,9.2
-1.6720e+00,9.6,10.2
-1.6713e+00,9.6,9.2
-1.6705e+00,9.6,10.2
-1.6697e+00,9.6,9.2
-1.6690e+00,9.8,10.2
-1.6682e+00,9.8,9.4
-1.6674e+00,9.8,10.2
-1.6667e+00,9.6,9.2
-1.6659e+00,9.6,10.2
-1.6651e+00,9.8,9.2
-1.6644e+00,9.6,10
-1.6636e+00,9.6,9.2
-1.6628e+00,9.6,10
-1.6621e+00,9.6,9
-1.6613e+00,9.4,10
-1.6605e+00,9.4,9
-1.6598e+00,9.4,10
-1.6590e+00,9.6,9
-1.6582e+00,9.6,10
-1.6575e+00,9.6,9.2
-1.6567e+00,9.6,10
-1.6559e+00,9.6,9.2
-1.6551e+00,9.6,10.2
-1.6544e+00,9.8,9.2
-1.6536e+00,9.8,10.2
-1.6528e+00,9.6,9.4
-1.6521e+00,9.8,10.2
-1.6513e+00,9.8,9.2
-1.6505e+00,9.8,10.2
-1.6498e+00,9.8,9.2
-1.6490e+00,9.8,10.2
-1.6482e+00,9.6,9.2
-1.6475e+00,9.6,10.2
-1.6467e+00,9.8,9.2
-1.6459e+00,9.6,10
-1.6452e+00,9.4,9
-1.6444e+00,9.6,10
-1.6436e+00,9.4,9
-1.6429e+00,9.4,9.8
-1.6421e+00,9.4,8.8
-1.6413e+00,9.4,9.8
-1.6406e+00,9.2,8.8
-1.6398e+00,9.2,9.8
-1.6390e+00,9.4,8.8
-1.6382e+00,9.4,9.8
-1.6375e+00,9.2,8.8
-1.6367e+00,9.2,9.8
-1.6359e+00,9.2,8.8
