Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.01,,,
Sample Interval,1.92012e-05,,,
Filter Frequency,2e+08,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,10,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.689e-02,2.64,2.56,-0.4,-0.8
-4.687e-02,2.64,2.72,-0.4,0
-4.685e-02,2.64,2.56,-0.4,-0.8
-4.683e-02,2.64,2.8,-0.4,0
-4.681e-02,2.64,2.56,-0.4,-0.8
-4.679e-02,2.64,2.72,-0.4,0
-4.677e-02,2.64,2.56,-0.4,-0.8
-4.675e-02,2.64,2.8,-0.4,0
-4.674e-02,2.64,2.56,-0.4,-0.8
-4.672e-02,2.64,2.8,-0.4,0
-4.670e-02,2.64,2.56,-0.4,-0.8
-4.668e-02,2.64,2.72,-0.4,0
-4.666e-02,2.64,2.64,-0.4,-0.8
-4.664e-02,2.64,2.8,-0.4,0
-4.662e-02,2.64,2.64,-0.4,-0.8
-4.660e-02,2.64,2.8,-0.4,0
-4.658e-02,2.72,2.64,-0.8,-0.8
-4.656e-02,2.72,2.8,-0.4,0
-4.654e-02,2.64,2.64,-0.8,-0.8
-4.652e-02,2.64,2.8,-0.4,0
-4.651e-02,2.72,2.64,-0.4,-0.8
-4.649e-02,2.72,2.8,-0.4,0
-4.647e-02,2.64,2.64,-0.4,-0.8
-4.645e-02,2.72,2.8,-0.4,0
-4.643e-02,2.72,2.64,-0.4,-0.8
-4.641e-02,2.64,2.8,-0.4,0
-4.639e-02,2.72,2.64,-0.4,-0.8
-4.637e-02,2.72,2.8,-0.4,0
-4.635e-02,2.72,2.64,-0.4,-0.8
-4.633e-02,2.72,2.8,-0.4,0
-4.631e-02,2.72,2.64,-0.4,-0.8
-4.629e-02,2.72,2.8,-0.4,0
-4.627e-02,2.72,2.64,-0.4,-0.8
-4.626e-02,2.72,2.8,-0.4,0
-4.624e-02,2.72,2.64,-0.4,-0.8
-4.622e-02,2.72,2.8,-0.4,0
-4.620e-02,2.72,2.64,-0.4,-0.8
-4.618e-02,2.72,2.8,-0.4,0
-4.616e-02,2.72,2.64,-0.4,-0.8
-4.614e-02,2.72,2.8,-0.4,0
-4.612e-02,2.72,2.64,-0.4,-0.8
-4.610e-02,2.72,2.8,-0.4,0
-4.608e-02,2.72,2.64,-0.4,-0.8
-4.606e-02,2.72,2.8,-0.4,0
-4.604e-02,2.72,2.64,-0.4,-0.8
-4.603e-02,2.72,2.88,-0.4,0
-4.601e-02,2.8,2.64,-0.4,-0.8
-4.599e-02,2.72,2.8,-0.4,0
-4.597e-02,2.72,2.64,0,-1.2
-4.595e-02,2.72,2.8,-0.4,0
-4.593e-02,2.72,2.64,-0.4,-0.8
-4.591e-02,2.72,2.88,-0.4,0
-4.589e-02,2.72,2.64,-0.4,-0.8
-4.587e-02,2.72,2.8,-0.4,0
-4.585e-02,2.72,2.64,0,-0.8
-4.583e-02,2.8,2.8,-0.4,0
-4.581e-02,2.72,2.64,-0.4,-0.8
-4.579e-02,2.72,2.8,-0.4,0.4
-4.578e-02,2.72,2.64,-0.4,-0.8
-4.576e-02,2.72,2.88,-0.4,0.4
-4.574e-02,2.72,2.64,0,-0.8
-4.572e-02,2.72,2.8,0,0.4
-4.570e-02,2.8,2.64,-0.4,-0.8
-4.568e-02,2.72,2.88,-0.4,0.4
-4.566e-02,2.8,2.64,-0.4,-0.8
-4.564e-02,2.72,2.8,-0.4,0.8
-4.562e-02,2.72,2.64,0,-0.8
-4.560e-02,2.72,2.8,0.4,0.8
-4.558e-02,2.8,2.64,-0.4,-0.8
-4.556e-02,2.8,2.8,-0.4,0.8
-4.555e-02,2.72,2.64,-0.4,-0.8
-4.553e-02,2.72,2.88,-0.4,0.8
-4.551e-02,2.72,2.64,0,-0.8
-4.549e-02,2.72,2.8,0.4,0.4
-4.547e-02,2.8,2.64,0,-0.8
-4.545e-02,2.72,2.88,-0.4,0.8
-4.543e-02,2.8,2.64,-0.4,-0.8
-4.541e-02,2.72,2.88,-0.4,0.8
-4.539e-02,2.8,2.64,0,-0.8
-4.537e-02,2.8,2.8,0.4,0.8
-4.535e-02,2.8,2.64,0.4,-0.8
-4.533e-02,2.72,2.8,0,0.8
-4.531e-02,2.72,2.64,-0.4,-0.8
-4.530e-02,2.8,2.88,-0.4,0.8
-4.528e-02,2.72,2.64,-0.4,-0.8
-4.526e-02,2.8,2.8,0,0.8
-4.524e-02,2.72,2.64,0.4,-0.8
-4.522e-02,2.8,2.88,0,0.8
-4.520e-02,2.8,2.64,0,-0.8
-4.518e-02,2.8,2.88,-0.4,0.8
-4.516e-02,2.72,2.64,-0.4,-0.8
-4.514e-02,2.72,2.88,0.4,0.8
-4.512e-02,2.72,2.64,0.4,-0.8
-4.510e-02,2.8,2.8,0,0.8
-4.508e-02,2.72,2.64,-0.4,-0.8
-4.507e-02,2.72,2.88,-0.4,0.8
-4.505e-02,2.72,2.64,-0.4,-0.8
-4.503e-02,2.72,2.8,0,0.8
-4.501e-02,2.72,2.64,0.8,-0.8
-4.499e-02,2.72,2.88,0.4,0.8
-4.497e-02,2.8,2.64,0,-0.8
-4.495e-02,2.72,2.88,-0.4,1.2
-4.493e-02,2.72,2.64,0,-0.8
-4.491e-02,2.72,2.8,0,1.2
-4.489e-02,2.72,2.64,0.8,-0.8
-4.487e-02,2.8,2.88,0.8,1.2
-4.485e-02,2.8,2.64,0.4,-0.4
-4.483e-02,2.72,2.88,0.4,1.2
-4.482e-02,2.72,2.64,0,-0.4
-4.480e-02,2.72,2.8,0.4,1.2
-4.478e-02,2.72,2.64,0.4,0
-4.476e-02,2.72,2.88,1.2,1.2
-4.474e-02,2.72,2.64,0.8,0.4
-4.472e-02,2.72,2.8,0.8,1.6
-4.470e-02,2.72,2.64,1.2,0.8
-4.468e-02,2.72,2.8,1.6,2
-4.466e-02,2.72,2.64,1.6,0.8
-4.464e-02,2.72,2.8,1.6,2
-4.462e-02,2.72,2.64,1.6,1.2
-4.460e-02,2.72,2.8,1.6,2
-4.459e-02,2.72,2.64,1.6,1.2
-4.457e-02,2.72,2.8,1.6,2.4
-4.455e-02,2.64,2.64,2,1.6
-4.453e-02,2.72,2.8,2,2.8
-4.451e-02,2.72,2.64,2,2
-4.449e-02,2.72,2.8,2.4,3.2
-4.447e-02,2.72,2.64,2.4,2
-4.445e-02,2.64,2.8,2.4,3.2
-4.443e-02,2.72,2.64,2.8,2.4
-4.441e-02,2.72,2.8,3.2,4
-4.439e-02,2.72,2.64,3.6,3.2
-4.437e-02,2.72,2.8,3.6,4.4
-4.435e-02,2.64,2.64,3.6,3.6
-4.434e-02,2.72,2.8,4,4.8
-4.432e-02,2.64,2.64,4.4,4
